x,class
355.44933495113816,c
92.49623624899967,a
141.87679475713,c
431.833901528095,c
435.02846071222535,c
205.80069498110913,a
34.68761156005529,b
443.5663536577713,a
69.42321664429218,a
301.2810691469357,a
342.65158129802404,c
216.11884662768932,a
367.67388571804355,c
93.12612310082602,a
401.42223511282566,c
74.24620676846693,c
356.8414017746271,a
457.419132049754,a
395.64337374148624,c
368.8939083383807,a
163.9165054130055,a
484.1606702022739,b
55.266035882747644,c
171.55890817166824,b
119.69165158264799,a
332.6392861077555,b
85.10413501075348,a
289.67861866874034,b
156.79452239165255,b
143.5296603398663,c
83.61463228838583,a
108.52309512246006,a
57.577471679258196,c
9.956195607953633,c
439.9956837092161,b
146.00833972128913,b
259.331896879294,b
431.4885135121656,a
293.74451936683954,c
373.536696700183,c
368.42856207244307,a
257.8751180068718,b
308.4216762293146,c
145.43473872713835,c
488.3061935192584,a
93.82044969362285,a
487.23162710149353,c
21.537115691412755,b
464.3849263348453,a
154.8169106906197,c
412.80052090148536,c
214.35257928274342,b
53.17340059017883,a
478.00104495634855,a
314.2302722437608,a
59.96662140961073,b
379.41375591776847,b
149.33802645264194,c
351.27379917709055,b
362.4263055491296,a
469.3048167942084,b
3.998342415845013,b
267.7276626358022,b
121.29391048056442,c
344.4096199355078,b
37.192282741607904,b
483.9883382659252,a
94.30828365065136,c
357.3007319289289,b
12.254063418558559,a
472.7286856060703,b
491.6124874179856,b
8.757472196774362,c
456.9316242835202,c
97.26373676428352,c
445.8626483308727,a
386.11144024497736,b
22.438526393373458,a
218.6651471271205,a
14.469991818654048,a
59.6905759127947,c
315.4289324531128,b
347.09605491916665,b
227.0342014666313,a
469.50628564110417,c
426.70323172844576,a
203.44033818712276,c
484.6624449266972,b
284.3784560262354,b
444.13680841085585,b
163.69738789361583,b
257.09668548625007,c
265.1065799479194,c
390.1083503381975,c
97.25934379382456,c
314.6171278179065,a
330.2045940812242,a
246.674501771966,c
95.12812435730072,a
427.23398702140906,c
82.34827856600208,b
410.1481520022799,b
247.29340360604397,c
191.50871324174045,b
456.422082851216,a
228.29552728953317,c
65.48297631647509,c
478.0781367774724,a
150.6936890640373,c
48.322000995707995,a
429.62906162284236,a
128.3911057501805,c
9.122731070269063,c
33.915850456429695,b
